assessment_name,field_name,field_type
materials_assessment,ropes,number_pass_fail_na_comment
materials_assessment,retention_netting,pass_fail_na_comment
materials_assessment,zips,pass_fail_na_comment
materials_assessment,windows,pass_fail_na_comment
materials_assessment,artwork,pass_fail_na_comment
materials_assessment,thread,pass_fail_comment
materials_assessment,fabric_strength,pass_fail_comment
materials_assessment,fire_retardant,pass_fail_comment
fan_assessment,fan_size_type,text_field
fan_assessment,number_of_blowers,number
fan_assessment,blower_serial,text_field
fan_assessment,blower_tube_length,number_pass_fail_comment
fan_assessment,blower_flap,pass_fail_na_comment
fan_assessment,blower_finger,pass_fail_comment
fan_assessment,pat,pass_fail_na_comment
fan_assessment,blower_visual,pass_fail_comment
slide_assessment,slide_platform_height,decimal_comment
slide_assessment,slide_wall_height,decimal_comment
slide_assessment,slide_first_metre_height,decimal_comment
slide_assessment,slide_beyond_first_metre_height,decimal_comment
slide_assessment,slide_permanent_roof,yes_no_radio_comment
slide_assessment,clamber_netting,pass_fail_na_comment
slide_assessment,runout,number_pass_fail_comment
slide_assessment,slip_sheet,pass_fail_comment
structure_assessment,seam_integrity,pass_fail_comment
structure_assessment,stitch_length,pass_fail_comment
structure_assessment,air_loss,pass_fail_comment
structure_assessment,straight_walls,pass_fail_comment
structure_assessment,sharp_edges,pass_fail_comment
structure_assessment,unit_stable,pass_fail_comment
structure_assessment,evacuation_time,pass_fail_comment
structure_assessment,step_ramp_size,number_pass_fail_comment
structure_assessment,platform_height,number_pass_fail_comment
structure_assessment,critical_fall_off_height,number_pass_fail_comment
structure_assessment,unit_pressure,number_pass_fail_comment
structure_assessment,trough_depth,integer_comment
structure_assessment,trough_adjacent_panel_width,integer_comment
structure_assessment,trough,pass_fail_comment
structure_assessment,entrapment,pass_fail_comment
structure_assessment,markings,pass_fail_comment
structure_assessment,grounding,pass_fail_comment
anchorage_assessment,num_low_anchors,number_pass_fail_comment
anchorage_assessment,num_high_anchors,number_pass_fail_comment
anchorage_assessment,anchor_accessories,pass_fail_comment
anchorage_assessment,anchor_degree,pass_fail_comment
anchorage_assessment,anchor_type,pass_fail_comment
anchorage_assessment,pull_strength,pass_fail_comment
enclosed_assessment,exit_number,number_pass_fail_comment
enclosed_assessment,exit_sign_always_visible,pass_fail_comment
user_height_assessment,containing_wall_height,decimal_comment
user_height_assessment,play_area_length,decimal_comment
user_height_assessment,play_area_width,decimal_comment
user_height_assessment,negative_adjustment,decimal_comment
user_height_assessment,users_at_1000mm,number
user_height_assessment,users_at_1200mm,number
user_height_assessment,users_at_1500mm,number
user_height_assessment,users_at_1800mm,number
user_height_assessment,custom_user_height_comment,text_area
pat_assessment,equipment_class,number_pass_fail_comment
pat_assessment,equipment_power,integer_comment
pat_assessment,visual,pass_fail_comment
pat_assessment,appliance_plug_check,pass_fail_comment
pat_assessment,fuse_rating,number_pass_fail_comment
pat_assessment,earth_ohms,number_pass_fail_comment
pat_assessment,insulation_mohms,number_pass_fail_comment
pat_assessment,leakage_ma,number_pass_fail_comment
pat_assessment,load_test,pass_fail_comment
pat_assessment,rcd_trip_time_ms,number_pass_fail_comment
